"Customers Created: ","288"
"Customer ID","Arrival","Time to Check Out","Departure","Total Wait","Line Number"
"0","0","2","3","3","0"
"10","29","4","34","5","0"
"12","33","2","37","4","0"
"14","39","1","41","2","0"
"15","41","2","44","3","0"
"16","42","1","46","4","0"
"18","45","1","48","3","0"
"26","63","4","68","5","0"
"28","68","4","73","5","0"
"30","72","2","76","4","0"
"32","77","4","82","5","0"
"34","84","3","88","4","0"
"35","88","2","91","3","0"
"36","91","2","94","3","0"
"37","93","1","96","3","0"
"38","94","2","99","5","0"
"39","96","1","101","5","0"
"42","107","1","109","2","0"
"43","109","2","112","3","0"
"46","116","3","120","4","0"
"47","120","1","122","2","0"
"48","123","1","125","2","0"
"49","126","1","128","2","0"
"50","127","4","133","6","0"
"51","130","1","135","5","0"
"52","134","3","139","5","0"
"53","135","2","142","7","0"
"54","138","2","145","7","0"
"55","142","4","150","8","0"
"57","149","2","153","4","0"
"61","160","4","165","5","0"
"62","161","3","169","8","0"
"63","164","4","174","10","0"
"66","172","2","177","5","0"
"67","175","1","179","4","0"
"71","188","2","191","3","0"
"72","191","1","193","2","0"
"73","194","2","197","3","0"
"74","196","2","200","4","0"
"75","197","3","204","7","0"
"76","198","4","209","11","0"
"77","203","1","211","8","0"
"78","206","4","216","10","0"
"79","208","3","220","12","0"
"80","209","4","225","16","0"
"83","216","2","228","12","0"
"87","226","1","230","4","0"
"89","232","1","234","2","0"
"91","236","4","241","5","0"
"92","239","2","244","5","0"
"94","244","4","249","5","0"
"95","248","1","251","3","0"
"98","258","2","261","3","0"
"99","259","4","266","7","0"
"101","266","2","269","3","0"
"103","271","1","273","2","0"
"104","276","4","281","5","0"
"105","278","3","285","7","0"
"106","280","4","290","10","0"
"107","282","1","292","10","0"
"109","287","1","294","7","0"
"112","299","3","303","4","0"
"116","311","1","313","2","0"
"117","314","1","316","2","0"
"118","316","1","318","2","0"
"119","321","1","323","2","0"
"120","324","2","327","3","0"
"121","325","1","329","4","0"
"126","333","2","336","3","0"
"128","337","1","339","2","0"
"130","341","4","346","5","0"
"131","342","2","349","7","0"
"133","348","1","351","3","0"
"134","352","1","354","2","0"
"138","361","4","366","5","0"
"139","364","2","369","5","0"
"140","366","1","371","5","0"
"142","372","3","376","4","0"
"144","376","4","381","5","0"
"145","377","1","383","6","0"
"147","384","2","387","3","0"
"149","389","4","394","5","0"
"150","394","2","397","3","0"
"153","401","3","405","4","0"
"154","403","2","408","5","0"
"155","405","3","412","7","0"
"158","411","3","416","5","0"
"164","425","3","429","4","0"
"166","430","1","432","2","0"
"172","446","4","451","5","0"
"174","450","1","453","3","0"
"175","452","2","456","4","0"
"178","457","1","459","2","0"
"179","459","4","464","5","0"
"181","465","4","470","5","0"
"183","472","4","477","5","0"
